folder,ENSEIGNE,ville,adresse,CP,ADRESSE ,VILLE,ADRESSE,siret
"2022 - BEY STEACK HOUSE -60, Rue Salvador Allende - 92000 NANTERRE",L_ATELIER_BEY_STEAKHOUSE,,,,,NANTERRE,"60, Rue Salvador Allende",91277635800018
2023 - ALFIO - 43 Avenue de la BOURDONNAIS - 75007 PARIS,ALFIO,,,,,PARIS,43 Avenue de la BOURDONNAIS,57217435700010
"2023 - FOISONNANTE - 123-125, Avenue Jean JAURÉS - 75019 PARIS - EN COURS",LA_FOISONNANTE,,,,,PARIS,"125, Avenue Jean JAURÉS",85016864200013
2023 - GOLFE DE NAPLES - 8 Rue CLEMENT - Angle Rue MONTFAUCON - 75006 PARIS,LE_GOLFE_DE_NAPLES,,,,,PARIS,Angle Rue MONTFAUCON,32165226500018
2023 - KIBALOMA - PARIS PYLA - 4 Place du 18 JUIN 1940 - 75006 PARIS,PARIS-PYLA,,,,,PARIS,4 Place du 18 JUIN 1940,78419152000047
2023 - SCORZO - 64 Avenue des TERNES - 75017 PARIS,SCORZO,,,,,PARIS,64 Avenue des TERNES,38809476500020
2023 - SUFFREN - 84 Av de SUFFREN - 75015 PARIS,LE_SUFFREN,,,,,,,30376703200012
2023 - THE JUNGLE - 4 Rue CAULAINCOURT - 75018 PARIS - EN COURS,THE_JUNGLE,,,,,PARIS,4 Rue CAULAINCOURT,93930449900014
2023 _ 2024 - GAULOISE - 59 Av de la MOTTE PICQUET - 75015 PARIS,LA_GAULOISE,,,,,PARIS,59 Av de la MOTTE PICQUET,30176296900014
2024 - BERTHOUD (LE) - 1 Rue VALETTE - 75005 PARIS,SARL_LE_BERTHOUD,,,,,PARIS,1 Rue VALETTE,40413673100019
2024 - CAFE DES BEAUX ARTS (LE) - 7 Quai MALAQUAIS - 75006 PARIS,CAFE_DES_BEAUX_ARTS,,,,,PARIS,7 Quai MALAQUAIS,32176212200018
2024 - EUGENE EUGENE - 38-40 Rue Eugène EICHENBERGER - 92800 PUTEAUX,EUGENE_EUGENE,,,,,PUTEAUX,40 Rue Eugène EICHENBERGER,80224059800010
2024 - MARCELLO - 10 Bld DELESSERT - 75016 PARIS,MARCELLO,,,,,PARIS,10 Bld DELESSERT,91795262400026
2025 - PETIT BISTROT D'AUTEUIL (Le) - 75016 PARIS - 8 Bis Rue VEEDERET,AU_BISTROTT_D_AUTEUIL,,,,,PARIS,8 Bis Rue VEEDERET,81131629800017
2BC AUBRAC - BORREL BONNENFANT,VERSAILLES_AVENUE,,,,,,,79903742900047
ABRADAVIO - 3 Rue de MAUBEUGE - 75009 PARIS,PIZZERIA_ABRAVADIO,PARIS,,75009.0,3 RUE DE MAUBEUGE,PARIS,3 RUE DE MAUBEUGE; 75009 PARIS,44487749200025
ABSINTHE CAFE - 54 RUE TURBIGO - 75001 PARIS,L_ABSINTHE_CAFE,PARIS,,75001.0,,,,34451238900026
AFFRANCHIS (Les) - 75012 PARIS - 14 Avenue DAUMESNIL,LES_AFFRANCHIS,PARIS,,75012.0,28 BOULEVARD VOLTAIRE,PARIS,28 BOULEVARD VOLTAIRE; 75010 PARIS,84492436500027
AMBASSADE D'AUVERGNE,,,,,22 RUE DU GRENIER SAINT-LAZARE,PARIS,22 RUE DU GRENIER SAINT-LAZARE; 75003 PARIS,
ANNA - 75008 PARIS - 14 Rue MARBEUF - Dossier LATREILLE Benoit,ANNA,,,,14 RUE MARBEUF,PARIS,14 RUE MARBEUF; 75008 PARIS,32630030800011
AQUABIKE - 75015 PARIS - 45 Avenue de la MOTTE-PICQUET,VEL_EAU_FOR_EVER,,,,,,,75171284500013
ASCENSION -75018 - 62 RUE CUSTINE,,,,,,,,
ASIAN KITCHEN - 75007 PARIS - 49 Quai d'ORSAY - 20240925,ASIA_KITCHEN,,,,,,,44425288600015
ASSOCIES (Les) - 75012 PARIS - 50 Bld de la BASTILLE,LES_ASSOCIES,PARIS,,75012.0,,,,43472611300013
AVELLINO - 4 Bld Richard WALLACE - 92800 PUTEAUX,AVELLINO,PUTEAUX,,92800.0,,,,83158373700018
AVENIR - 104 Rue Sadi Carnot - 92 VANVES,,,,,104 RUE SADI CARNOT,VANVES,104 RUE SADI CARNOT; 92170 VANVES,
AVENIR - 104 Rue Sadi Carnot - 92 VANVES_HUGUETTE,HUGUETTE,,,,104 RUE SADI CARNOT,VANVES,104 RUE SADI CARNOT; 92170 VANVES,45061037300018
AZZURO - 92100 BOULOGNE-BILLANCOURT - 59 Place René CLAIR,AZZURRO_BISTRO,,,,,,,83063578500025
BAR DES SPORT - 75012 - 73 AVENUE DU GENERAL MICHEL BIZOT,BAR_DES_SPORTS,,,,,,,82268394200012
BARIOLÉ (Le) - 75020 PARIS - 103 Rue de BELLEVILLE,LE_BARIOLE,PARIS,,75020.0,,,,79347224200015
BEAUX PARLEURS - SAS JADE - 35 Bld BONNE NOUVELLE - 75002 PARIS,BISTROT_JAD,,,,,,,92531815600013
BEBER - 75006 PARIS - 71 Bld du MONTPARNASSE,,PARIS,,75006.0,,,,
BILLY BILLI - 92000 NANTERRE,BILLY_BILLY,,BILLY BILLI - 92000 NANTERRE,,,,,89324339400010
BISTROT BALNÉAIRE (Le) - 40150 SOORTS-HOSSEGOR - 1830 Avenue du TOURING CLUB,,,,,,,,
BISTROT CHARBON (Le) - 75004 PARIS- 131 rue Saint MARTIN,CAFE_CHARBON,PARIS,,75004.0,131 RUE SAINT MARTIN,PARIS,131 RUE SAINT MARTIN; 75004 PARIS,53739192200011
BISTROT DE RUNGIS - DEFICIT REPORTABLE,,,BISTROT DE RUNGIS - DEFICIT REPORTABLE,,,,,
BISTROT DU FAUBOURG - 12 Allée de l'ARCHE - 92400 COURBEVOIE,BISTRO_DU_FAUBOURG,COURBEVOIE,,92400.0,38 PARVIS DE LA DÉFENSE,PUTEAUX,38 PARVIS DE LA DÉFENSE; 92800 PUTEAUX,81531506400023
BISTROT VALOIS (Le) - 75001 PARIS - 1 Bis Place de VALOIS,BISTROT_VALOIS,PARIS,,75001.0,1 BIS PLACE DE VALOIS,PARIS,1 BIS PLACE DE VALOIS; 75001 PARIS,48138353700018
BOIS LE VENT (Le - 75016 PARIS - 59 Rue de BOULAINVILLIERS,,PARIS,,75016.0,,,,
BON JACQUES (Le) - 75017 - 34 Rue Jouffroy d'ABBANS,LE_ROUERGUE,,,,34 RUE JOUFFROY D'ABBANS,PARIS,34 RUE JOUFFROY D'ABBANS; 75017 PARIS,90834751100010
BOUDOIR (Le) - 75006 PARIS - 202 Bld Saint GERMAIN,LE_BOUDOIR,PARIS,,75006.0,202 BOULEVARD SAINT GERMAIN,PARIS,202 BOULEVARD SAINT GERMAIN; 75007 PARIS,84072367000013
BOULANGERIE - 48 Bld Gouvioon St Cyr - 75017 PARIS,,PARIS,,75017.0,,,,
BOULANGERIE DE L'OLYMPIA,PATISSERIE_DE_L_OLYMPIA,,,,,,,34027633600021
