folder,ENSEIGNE,ville,adresse,CP,ADRESSE ,VILLE,ADRESSE,siret
"2022 - BEY STEACK HOUSE -60, Rue Salvador Allende - 92000 NANTERRE",L_ATELIER_BEY_STEAKHOUSE,,,,,NANTERRE,"60, Rue Salvador Allende",91277635800018
2023 - ALFIO - 43 Avenue de la BOURDONNAIS - 75007 PARIS,ALFIO,,,,,PARIS,43 Avenue de la BOURDONNAIS,57217435700010
"2023 - FOISONNANTE - 123-125, Avenue Jean JAURÉS - 75019 PARIS - EN COURS",LA_FOISONNANTE,,,,,PARIS,"125, Avenue Jean JAURÉS",85016864200013
2023 - GOLFE DE NAPLES - 8 Rue CLEMENT - Angle Rue MONTFAUCON - 75006 PARIS,LE_GOLFE_DE_NAPLES,,,,,PARIS,Angle Rue MONTFAUCON,32165226500018
2023 - KIBALOMA - PARIS PYLA - 4 Place du 18 JUIN 1940 - 75006 PARIS,PARIS-PYLA,,,,,PARIS,4 Place du 18 JUIN 1940,78419152000047
2023 - SCORZO - 64 Avenue des TERNES - 75017 PARIS,SCORZO,,,,,PARIS,64 Avenue des TERNES,38809476500020
2023 - THE JUNGLE - 4 Rue CAULAINCOURT - 75018 PARIS - EN COURS,THE_JUNGLE,,,,,PARIS,4 Rue CAULAINCOURT,93930449900014
2023 _ 2024 - GAULOISE - 59 Av de la MOTTE PICQUET - 75015 PARIS,LA_GAULOISE,,,,,PARIS,59 Av de la MOTTE PICQUET,30176296900014
2024 - BERTHOUD (LE) - 1 Rue VALETTE - 75005 PARIS,SARL_LE_BERTHOUD,,,,,PARIS,1 Rue VALETTE,40413673100019
2024 - CAFE DES BEAUX ARTS (LE) - 7 Quai MALAQUAIS - 75006 PARIS,CAFE_DES_BEAUX_ARTS,,,,,PARIS,7 Quai MALAQUAIS,32176212200018
2024 - EUGENE EUGENE - 38-40 Rue Eugène EICHENBERGER - 92800 PUTEAUX,EUGENE_EUGENE,,,,,PUTEAUX,40 Rue Eugène EICHENBERGER,80224059800010
2024 - MARCELLO - 10 Bld DELESSERT - 75016 PARIS,MARCELLO,,,,,PARIS,10 Bld DELESSERT,91795262400026
2025 - PETIT BISTROT D'AUTEUIL (Le) - 75016 PARIS - 8 Bis Rue VEEDERET,AU_BISTROTT_D_AUTEUIL,,,,,PARIS,8 Bis Rue VEEDERET,81131629800017
